Place ID,Business Name,Phone,Phone Country Code,Website,Email,Emails,Website Phones,Facebook,Instagram,LinkedIn,Twitter,YouTube,Pinterest,TikTok,Category,Address,Latitude,Longitude,DirectionUrl,Rating,Reviews,Monday Hours,Tuesday Hours,Wednesday Hours,Thursday Hours,Friday Hours,Saturday Hours,Sunday Hours
0x3e5d2b1555555555:0x9e9ad051eb6315af,ADNOC Ruwais refinery Takreer,,,,,,,,,,,,,,Oil refinery,ADNOC Ruwais refinery Takreer - Al Ruwais Industrial City - Abu Dhabi - United Arab Emirates,24.1048998,52.7241914,https://www.google.com/maps?q=24.10489980%2C52.72419140,4.7,,,,Open 24 hours,,,,
0x3e5e33d61bcb99ab:0x6a4291074f5c7821,Emirates International Agricultural Advanced Company LLC,+971 2 559 6336,971,https://eiaac-uae.com/,info@eiaac-uae.com,info@eiaac-uae.com,,,,,,,,,Fruit and vegetable wholesaler,Emirates International Agricultural Advanced Company LLC - 21 شارع يِلّي - Al Nahdah - Al Nahdah East - Abu Dhabi - United Arab Emirates,24.2424378,54.7442819,https://www.google.com/maps?q=24.24243780%2C54.74428190,5,,,,8:30am–4:30pm,,,,
0x3e5e39babe0c3631:0xe44bc54d000d0c0f,Elite Agro Projects LLC,+971 50 107 4744,971,http://eliteprojects.ae/,info@website.com,info@website.com; projects@eliteprojects.ae,,https://www.facebook.com/EliteAgroProjectsae,https://www.instagram.com/elite_agro_projects/,https://www.linkedin.com/company/elite-agro-projects-llc/,,,,,Agricultural service,Elite Agro Projects LLC - Khalifa City - SE45 - Abu Dhabi - United Arab Emirates,24.4407851,54.6066105,https://www.google.com/maps?q=24.44078510%2C54.60661050,4.6,,,,8am–4:30pm,,,,
0x3e676747cb5d7229:0x340e68aae06db339,Silal Madinat Zayed Packhouse مركز سلال للفرز والتعبئة – مدينة زايد,+971 2 614 4444,971,https://www.silal.ae/,,,,https://www.facebook.com/SilalUAE/,https://www.instagram.com/silaluae/,https://www.linkedin.com/company/silaluae/,https://twitter.com/silaluae,,,,Agricultural production,Silal Madinat Zayed Packhouse مركز سلال للفرز والتعبئة – مدينة زايد - Al Furousiyya St - Madinat Za'id - MZE19 - Abu Dhabi - United Arab Emirates,23.6652357,53.727981,https://www.google.com/maps?q=23.66523570%2C53.72798100,3.8,,,,7am–3pm,,,,
0x3ef54bb669b4d7a3:0xb1e65a9f4340d3f2,Al Ain Farms Al Ain,+971 3 711 4600,971,http://alainfarms.com/,customercare@alainfarms.com,customercare@alainfarms.com,,https://www.facebook.com/AlAinFarms/,https://www.instagram.com/alainfarms/?hl=en,https://www.linkedin.com/company/alainfarms/?originalSubdomain=in,,https://www.youtube.com/channel/UCQuAQ1oqxdg74YZ_3UTVPvA,,,Dairy farm,Al Ain Farms Al Ain - Masakin District - Dubai - Al Ain Road (E66) - Before Town Center Al Ain (Emirates St) Exit - Abu Dhabi - United Arab Emirates,24.3974558,55.7951419,https://www.google.com/maps?q=24.39745580%2C55.79514190,4.4,,,,8:30am–6:30pm,,,,
0x3e5d2fa9fc0efd3f:0x3ed90df41b79eb07,Alas Emirates Ready mix - Hail & Ghasha Plant,+971 54 447 4926,971,,,,,,,,,,,,Manufacturer,Hail & Ghasha - Al Ruwais Industrial City - Abu Dhabi - United Arab Emirates,24.1099395,52.8671423,https://www.google.com/maps?q=24.10993950%2C52.86714230,5,,,,6am–6:30pm,,,,
0x3e5e2d10251264ed:0xc9e3cf0b162610a,Emirates Farm for Livestock and Agricultural Production LLC - (Al Wathba Dairy Farm),+971 2 585 6000,971,https://www.efalp.ae/,,,,,,,,,,,Dairy farm,Emirates Farm for Livestock and Agricultural Production LLC - (Al Wathba Dairy Farm) - Lane 4035 - Al Wathba - U46 - Abu Dhabi - United Arab Emirates,24.1913137,54.726203,https://www.google.com/maps?q=24.19131370%2C54.72620300,4.3,,,,7am–5pm,,,,
0x3e8ab75f0b1567ed:0xa3c81316fd178acf,شط العرب للمواد الزراعية Shat Al Arab Agriculture Materials,+971 3 766 9878,971,http://www.shatalarab.co/,,,,https://www.facebook.com/Shat.al.arab.agri/,https://www.instagram.com/shat.al.arab_agricultural/,,,,,,Agricultural Product Wholesaler,"شط العرب للمواد الزراعية Shat Al Arab Agriculture Materials - Khalifa street, Al Ain City - Abu Dhabi - United Arab Emirates",24.2256697,55.7671987,https://www.google.com/maps?q=24.22566970%2C55.76719870,4.3,,,,8am–10pm,,,,
0x3e42d4fc5ec00e21:0xd9871433226b6e13,Abu Dhabi Oil Refining Company (TAKREER) - West Technical Building,+971 50 901 7648,971,,,,,,,,,,,,Oil refinery,4M49+64M Abu Dhabi Oil Refining Company (TAKREER) - West Technical Building - Al Ruwais Industrial City - Abu Dhabi - United Arab Emirates,24.1055859,52.6677931,https://www.google.com/maps?q=24.10558590%2C52.66779310,5,,,,Open 24 hours,,,,
0x3e5e6676cddcd3fb:0x304710c14d2d1c5,Al Khareef Al Akhdar Agricultural Kae,+971 2 445 4911,971,http://alkharef.ae/,info@alkharef.ae,info@alkharef.ae,,,,,,,,,Agricultural machinery manufacturer,Al Khareef Al Akhdar Agricultural Kae - 210 Hamdan Bin Mohammed St - Al Hisn - W6 - Abu Dhabi - United Arab Emirates,24.4812204,54.3518809,https://www.google.com/maps?q=24.48122040%2C54.35188090,5,,,,8am–5pm,,,,
